Как называется молот Тора?
Из чего сделан щит Капитана Америки?
Какую инопланетную расу посылает Локи для вторжения на Землю в Мстителях?
О каком городе часто вспоминают Соколиный Глаз и Черная Вдова?
Какие три предмета"," по словам Рокета"," ему нужны"," чтобы сбежать из тюрьмы?
